Features,0001_1060-5814-1310_glia.CNG_glia_processes
Soma_Surface,21702.5
N_stems,12.0
N_bifs,38.0
N_branch,88.0
N_tips,50.0
Width,658278.8999999999
Height,1319652.9000000006
Depth,510414.56999999995
Diameter,3.0785107427869853
Length,7329.55393
Surface,72388.70655
Volume,60597.09521
EucDistance,559.165
Sum_EucDistance,288541.2284
PathDistance,584.409
Sum_PathDistance,323019.50769999996
Branch_Order,7.0
Branch_pathlength,7329.09
Contraction,0.9436187613636364
Fragmentation,1629.0
Partition_asymmetry,0.4333333421052632
Pk_classic,1.9055294736842103
Bif_ampl_local,109.60690526315788
Bif_ampl_remote,75.94867368421053
Bif_tilt_local,108.13854210526317
Bif_tilt_remote,115.55985526315789
Bif_torque_local,86.91994736842105
Bif_torque_remote,86.28364394736843
Helix,-0.00026168224299065424
Fractal_Dim,1.0112543421052633
ABEL,76.97477057125
ABEL_Terminal,90.5446281814
ABEL_internal,59.11969476842105
BAPL,83.28511363636363
BAPL_Terminal,99.22720000000001
BAPL_Internal,62.308684210526316
